Date,AAPL,AMD,AMZN,COIN,DIS,GOOGL,META,NFLX,NVDA,SMCI,TSLA
2024-07-22,False,False,False,True,False,True,True,False,False,False,False
2024-07-23,False,True,False,False,False,True,True,False,True,True,False
2024-07-24,False,False,False,False,False,True,False,False,False,False,False
2024-07-25,False,False,False,True,False,True,False,False,False,False,False
2024-07-26,False,False,False,False,False,True,False,False,False,False,False
2024-07-29,False,False,False,True,False,True,False,False,False,False,False
2024-07-30,False,False,False,True,False,True,False,False,False,False,False
2024-07-31,False,False,False,True,False,True,False,False,False,False,False
2024-08-01,False,False,False,True,False,True,False,False,False,False,False
2024-08-02,False,False,False,True,False,True,False,False,False,False,False
2024-08-05,False,False,False,True,False,True,False,False,False,False,False
2024-08-06,False,False,False,True,False,True,False,False,False,False,False
2024-08-07,False,False,False,True,False,True,False,False,False,False,False
2024-08-08,False,False,False,True,False,True,False,False,False,False,False
2024-08-09,False,False,False,True,False,True,False,False,False,False,False
2024-08-12,False,False,False,True,False,True,False,False,False,False,False
2024-08-13,False,False,False,True,False,True,False,False,False,False,False
2024-08-14,False,False,False,True,False,True,False,False,False,False,False
2024-08-15,False,False,False,True,False,True,False,False,False,False,False
2024-08-16,False,False,False,True,False,True,False,False,False,False,False
2024-08-19,False,False,False,True,False,True,False,False,False,False,False
2024-08-20,False,False,False,True,False,True,False,False,False,False,False
2024-08-21,False,False,False,True,False,True,False,False,False,False,False
2024-08-22,False,False,False,True,False,True,False,False,False,False,False
2024-08-23,False,False,False,True,False,True,False,False,False,False,False
2024-08-26,False,False,False,True,False,True,False,False,False,False,False
2024-08-27,False,False,False,True,False,True,False,False,False,False,False
2024-08-28,False,False,False,True,False,True,False,False,False,False,False
2024-08-29,False,False,False,True,False,True,False,False,False,False,False
2024-08-30,False,False,False,True,False,True,False,False,False,False,False
2024-09-03,False,False,False,True,False,True,False,False,False,False,False
2024-09-04,False,False,False,True,False,True,False,False,False,False,False
2024-09-05,False,False,False,True,False,True,False,False,False,False,False
2024-09-06,False,False,False,True,False,True,False,False,False,False,False
2024-09-09,False,False,False,True,False,True,False,False,False,False,False
2024-09-10,False,False,False,True,False,True,False,False,False,False,False
2024-09-11,False,False,False,True,False,True,False,False,False,False,False
2024-09-12,False,False,False,True,False,True,False,False,False,False,False
2024-09-13,False,False,False,True,False,True,False,False,False,False,False
2024-09-16,False,False,False,True,False,True,False,False,False,False,False
2024-09-17,False,False,False,True,False,True,False,False,False,False,False
2024-09-18,False,False,False,True,False,True,False,False,False,False,False
2024-09-19,False,False,False,True,False,True,False,False,False,False,False
2024-09-20,False,False,False,True,False,True,False,False,False,False,False
2024-09-23,False,False,False,True,False,True,False,False,False,False,False
2024-09-24,False,False,False,True,False,True,False,False,False,False,False
2024-09-25,False,False,False,True,False,True,False,False,False,False,False
2024-09-26,False,False,False,True,False,True,False,False,False,False,False
2024-09-27,False,False,False,True,False,True,False,False,False,False,False
2024-09-30,False,False,False,True,False,True,False,False,False,False,False
2024-10-01,False,False,False,True,False,True,False,False,False,False,False
2024-10-02,False,False,False,True,False,True,False,False,False,False,False
2024-10-03,False,False,False,True,False,True,False,False,False,False,False
2024-10-04,False,False,False,True,False,True,False,False,False,False,False
2024-10-07,False,False,False,True,False,True,False,False,False,False,False
