Date,Open,High,Low,Close,Adj Close,Volume,Pct_Change
2021-03-01,123.75,127.93000030517578,122.79000091552734,127.79000091552734,125.42952728271484,116307900,5.385133671623721
2022-01-28,165.7100067138672,170.35000610351562,162.8000030517578,170.3300018310547,167.96339416503906,179935700,6.97775106704186
2022-05-05,163.85000610351562,164.0800018310547,154.9499969482422,156.77000427246094,154.78875732421875,130525300,-5.5716195700871936
2022-05-11,153.5,155.4499969482422,145.80999755859375,146.5,144.86109924316406,142689800,-5.184113433698013
2022-05-18,146.85000610351562,147.36000061035156,139.89999389648438,140.82000732421875,139.24461364746094,109742900,-5.641930205799173
2022-09-13,159.89999389648438,160.5399932861328,153.3699951171875,153.83999633789062,152.33026123046875,122656600,-5.8679518941131885
2022-10-28,148.1999969482422,157.5,147.82000732421875,155.74000549316406,154.21163940429688,164762400,7.555261355709075
2022-11-10,141.24000549316406,146.8699951171875,139.5,146.8699951171875,145.669921875,118854000,8.897456236829292
2024-05-03,186.64999389648438,187.0,182.66000366210938,183.3800048828125,183.13160705566406,163224100,5.98162329016434
2024-06-11,193.64999389648438,207.16000366210938,193.6300048828125,207.14999389648438,207.14999389648438,172373300,7.264912559045644
